,country,H,H1,H12,H123,H1_2
837,CAF (An. coluzzii),0.7238095238095239,0.2962962962962963,0.3842592592592593,0.41820987654320996,0.059895833333333225
838,CAF (An. coluzzii),0.7777777777777778,0.24382716049382716,0.3225308641975309,0.3842592592592593,0.08544303797468358
839,CAF (An. coluzzii),0.8539682539682539,0.1697530864197531,0.21296296296296297,0.23765432098765432,0.10909090909090909
840,CAF (An. coluzzii),0.8936507936507937,0.1311728395061728,0.16820987654320982,0.18981481481481477,0.1529411764705881
841,CAF (An. coluzzii),0.9238095238095239,0.10185185185185186,0.13271604938271608,0.16975308641975315,0.2424242424242424
842,CAF (An. coluzzii),0.9095238095238095,0.11574074074074077,0.14969135802469138,0.18981481481481485,0.1933333333333334
843,CAF (An. coluzzii),0.8746031746031746,0.14969135802469138,0.18981481481481477,0.21296296296296297,0.12886597938144348
844,CAF (An. coluzzii),0.9253968253968253,0.10030864197530866,0.13117283950617287,0.16820987654320993,0.23076923076923078
845,CAF (An. coluzzii),0.9095238095238095,0.11574074074074078,0.19290123456790126,0.2391975308641975,0.3333333333333335
846,CAF (An. coluzzii),0.8984126984126983,0.12654320987654322,0.21913580246913578,0.2932098765432099,0.39024390243902435
847,CAF (An. coluzzii),0.9571428571428572,0.06944444444444445,0.11574074074074076,0.14969135802469138,0.6000000000000001
848,CAF (An. coluzzii),0.9301587301587302,0.09567901234567905,0.15123456790123457,0.191358024691358,0.34677419354838734
849,CAF (An. coluzzii),0.911111111111111,0.11419753086419757,0.19135802469135804,0.23765432098765432,0.32432432432432445
850,CAF (An. coluzzii),0.9047619047619047,0.1203703703703704,0.21296296296296297,0.23765432098765432,0.3589743589743591
851,CAF (An. coluzzii),0.8936507936507937,0.13117283950617287,0.2391975308641975,0.2916666666666667,0.411764705882353
852,CAF (An. coluzzii),0.7825396825396824,0.23919753086419754,0.455246913580247,0.5293209876543211,0.36774193548387096
853,CAF (An. coluzzii),0.7698412698412698,0.2515432098765432,0.4922839506172839,0.5694444444444444,0.48159509202453993
854,CAF (An. coluzzii),0.8142857142857143,0.20833333333333337,0.3688271604938271,0.5308641975308641,0.3740740740740742
855,CAF (An. coluzzii),0.9365079365079365,0.08950617283950618,0.15432098765432098,0.19444444444444442,0.5775862068965517
856,CAF (An. coluzzii),0.9523809523809524,0.07407407407407407,0.11728395061728396,0.1512345679012346,0.48958333333333326
857,CAF (An. coluzzii),0.980952380952381,0.04629629629629631,0.0648148148148148,0.08641975308641973,0.7333333333333334
858,CAF (An. coluzzii),0.9952380952380951,0.03240740740740741,0.038580246913580245,0.05092592592592592,0.9047619047619048
859,CAF (An. coluzzii),0.9936507936507937,0.033950617283950615,0.040123456790123455,0.05246913580246913,0.9090909090909091
860,CAF (An. coluzzii),0.9523809523809524,0.0740740740740741,0.12037037037037038,0.1712962962962963,0.6250000000000001
861,CAF (An. coluzzii),0.9888888888888888,0.038580246913580266,0.04783950617283951,0.06327160493827161,0.8200000000000001
862,CAF (An. coluzzii),0.9841269841269841,0.04320987654320989,0.05709876543209876,0.07561728395061729,0.8392857142857143
863,CAF (An. coluzzii),0.9666666666666666,0.06018518518518519,0.09104938271604938,0.13271604938271603,0.6794871794871795
864,CAF (An. coluzzii),0.9920634920634921,0.035493827160493825,0.04475308641975309,0.06018518518518519,0.8043478260869565
865,CAF (An. coluzzii),0.9904761904761904,0.03703703703703706,0.046296296296296294,0.06172839506172839,0.8125000000000001
866,CAF (An. coluzzii),0.9888888888888889,0.038580246913580245,0.05092592592592592,0.060185185185185175,0.68
867,CAF (An. coluzzii),0.9888888888888889,0.038580246913580245,0.05092592592592592,0.060185185185185175,0.68
868,CAF (An. coluzzii),0.9777777777777777,0.04938271604938273,0.07253086419753085,0.09722222222222224,0.609375
869,CAF (An. coluzzii),0.7523809523809525,0.2685185185185185,0.3240740740740741,0.3858024691358025,0.06896551724137921
870,CAF (An. coluzzii),0.8095238095238095,0.212962962962963,0.23765432098765432,0.2638888888888889,0.07246376811594221
871,CAF (An. coluzzii),0.8682539682539683,0.15586419753086422,0.21604938271604937,0.2654320987654321,0.16336633663366354
872,CAF (An. coluzzii),0.8857142857142856,0.13888888888888892,0.19444444444444442,0.24074074074074073,0.20000000000000023
873,CAF (An. coluzzii),0.9714285714285714,0.055555555555555566,0.07870370370370369,0.11574074074074073,0.6527777777777778
874,CAF (An. coluzzii),0.9904761904761904,0.03703703703703706,0.046296296296296294,0.06172839506172839,0.8125000000000001
875,CAF (An. coluzzii),0.9904761904761904,0.03703703703703706,0.046296296296296294,0.06172839506172839,0.8125000000000001
876,CAF (An. coluzzii),0.9619047619047618,0.06481481481481483,0.08641975308641975,0.11419753086419754,0.41666666666666674
877,CAF (An. coluzzii),0.9634920634920635,0.06327160493827162,0.08487654320987655,0.11265432098765434,0.40243902439024404
878,CAF (An. coluzzii),0.9555555555555555,0.07098765432098766,0.10339506172839508,0.14969135802469136,0.46739130434782616
879,CAF (An. coluzzii),0.9031746031746032,0.12191358024691361,0.21450617283950615,0.2638888888888889,0.3670886075949368
880,CAF (An. coluzzii),0.9222222222222223,0.10339506172839509,0.1728395061728395,0.21604938271604937,0.39552238805970164
881,CAF (An. coluzzii),0.9555555555555555,0.07098765432098765,0.11728395061728396,0.1512345679012346,0.6086956521739131
882,CAF (An. coluzzii),0.9587301587301588,0.06790123456790124,0.10030864197530864,0.13117283950617287,0.44318181818181823
