,pops,pi,tajimaD,watt_theta
2894,GIN (An. coluzzii),0.011792207792207791,-0.8878671101362043,0.015361999884081353
2895,GIN (An. coluzzii),0.002087445887445887,-0.710517070112588,0.002743214265014527
2896,GIN (An. coluzzii),0.007502079619726679,-1.036785394068169,0.010424214207055204
2897,GIN (An. coluzzii),0.005752618623206859,-0.8976858491510704,0.007680999942040676
2898,GIN (An. coluzzii),0.006415584415584416,0.21817238467103336,0.00603507138303196
2899,GIN (An. coluzzii),0.022380536130536133,0.2861735735659663,0.020848428414110408
2900,GIN (An. coluzzii),0.018865800865800864,0.5612981773011211,0.016459285590087164
2901,GIN (An. coluzzii),0.003792207792207792,-1.285976711019718,0.00603507138303196
2902,GIN (An. coluzzii),0.008086580086580086,-0.4862838812412895,0.009326928501049393
2903,GIN (An. coluzzii),0.005359307359307359,-1.0807772079326525,0.007680999942040676
2904,GIN (An. coluzzii),0.026336330336330333,1.5936389008669731,0.018653857002098786
2905,GIN (An. coluzzii),0.01467451963241437,-0.2975716278971925,0.015910642737084257
2906,GIN (An. coluzzii),0.019987103230446883,0.6739051580415115,0.01700792844309007
2907,GIN (An. coluzzii),0.006909090909090908,-0.578562783337456,0.008229642795043582
2908,GIN (An. coluzzii),0.012500297088532382,0.5173847052984909,0.010972857060058109
2909,GIN (An. coluzzii),0.004329004329004329,-0.04497986063041753,0.004389142824023244
2910,GIN (An. coluzzii),0.00657821916645446,-0.002924428227009173,0.006583714236034866
2911,GIN (An. coluzzii),0.0017963895514915922,,0.0037322643061422143
2912,GIN (An. gambiae),0.004980259224208284,-2.406717096280869,0.024997889555375262
2913,GIN (An. gambiae),0.006054779429704279,-2.458120375596697,0.031576281543631915
2914,GIN (An. gambiae),0.021063712082272222,-1.4453525478637226,0.039799271528952726
2915,GIN (An. gambiae),0.020380229059379862,-1.6226640490487394,0.04308846752308105
2916,GIN (An. gambiae),0.0037247658088020354,-2.5161949196268107,0.023353291558311104
2917,GIN (An. gambiae),0.009028351339058672,-2.210531194995805,0.03289195994128324
2918,GIN (An. gambiae),0.012360661129285277,-2.300434231152405,0.048351181113686366
2919,GIN (An. gambiae),0.010585014151760249,-2.2150208801239266,0.03815467353188856
2920,GIN (An. gambiae),0.003620883972602436,-2.35398301482053,0.018090577967705784
2921,GIN (An. gambiae),0.0024867555236501473,-2.606152779824682,0.02039301516359561
2922,GIN (An. gambiae),0.0232858918793656,-1.8856322239097074,0.059205527894309835
2923,GIN (An. gambiae),0.006945642500493874,-2.5447257158488306,0.040457110727778384
2924,GIN (An. gambiae),0.008031114459953309,-2.1990686830216406,0.029273844347742085
2925,GIN (An. gambiae),0.006234205747133373,-2.537642653690841,0.0365100755348244
2926,GIN (An. gambiae),0.009358486695632762,-2.2597285965166956,0.03585223633599873
2927,GIN (An. gambiae),0.021076885947156284,-1.7621219056717505,0.04900902031251203
2928,GIN (An. gambiae),0.005346095811250257,-2.445375664457719,0.027958165950090756
2929,GIN (An. gambiae),0.007570251037082732,-2.2048450527166525,0.027958165950090756
2930,GIN (An. gambiae),0.008010079190373005,-2.304855669855623,0.03289195994128324
2931,GIN (An. gambiae),0.009945529331639958,-2.2959654479481797,0.03947035192953989
2932,GIN (An. gambiae),0.014478900237594055,-1.9434328314255498,0.03947035192953989
2933,GIN (An. gambiae),0.011195219221342988,-2.456934239591935,0.05394281430370452
2934,GIN (An. gambiae),0.013262736620701737,-2.1831219865861966,0.04539090471897087
2935,GIN (An. gambiae),0.007750932214777563,-2.285800781262074,0.03124736194421908
2936,GIN (An. gambiae),0.005446926913960377,-2.3805615620060077,0.02598464835361376
2937,GIN (An. gambiae),0.009172105150053561,-2.4062745945960486,0.042101708724842556
2938,GIN (An. gambiae),0.009950371399363018,-2.4081985399766648,0.04539090471897087
2939,GIN (An. gambiae),0.02181867782105781,-2.0432989080471318,0.06348148268667665
2940,GIN (An. gambiae),0.0052744889286190635,-2.52671636134952,0.03124736194421908
2941,GIN (An. gambiae),0.003680418250101488,-2.59241211451145,0.026313567953026595
2942,GIN (An. gambiae),0.0060366319894710665,-2.2566707482490993,0.0243400503565496
2943,GIN (An. gambiae),0.0062254265152216345,-2.5994160125036183,0.040457110727778384
2944,GIN (An. gambiae),0.005015331159693525,-2.5039785803901196,0.028944924748329253
2945,GIN (An. gambiae),0.010682330605172896,-2.1558917835787734,0.03618115593541157
2946,GIN (An. gambiae),0.002716499165324532,-2.6850895780251105,0.025326809154788098
2947,GIN (An. gambiae),0.0005365892008294788,-2.6249694284344804,0.009867587982384973
2948,GIN (An. gambiae),0.00444571319149894,-2.2356848589101,0.018419497567118616
2949,GIN (An. gambiae),0.01014944469620195,-2.136797558112423,0.03387871873952174
2950,GIN (An. gambiae),0.011130977268956364,-2.0044579792422645,0.032563040341870415
2951,GIN (An. gambiae),0.009684611629075263,-2.2564898715756945,0.03683899513423723
2952,GIN (An. gambiae),0.003989317470290795,-2.5495155048381064,0.02598464835361376
2953,GIN (An. gambiae),0.005319366464184605,-2.2757174879324884,0.022366532760072604
2954,GIN (An. gambiae),0.009768149528684308,-2.0066464653102614,0.028944924748329253
2955,GIN (An. gambiae),0.008221869152876222,-2.258619963238435,0.031905201143044744
2956,GIN (An. gambiae),0.0019872326534116423,-2.055756082231297,0.00822298998532081
2957,GIN (An. gambiae),0.02178989333236835,-1.4035335002417277,0.040128191128365555
2958,GIN (An. gambiae),0.0038581855269157737,-2.557203360655688,0.02565572875420093
2959,GIN (An. gambiae),0.006258882508678185,-2.30745320141602,0.026642487552439427
2960,GIN (An. gambiae),0.007926428825891587,-2.295565616262322,0.03223412074245758
2961,GIN (An. gambiae),0.005249668187783658,-2.515662628189535,0.030589522745393418
2962,GIN (An. gambiae),0.005395126813263525,-2.3960085511389475,0.026313567953026595
2963,GIN (An. gambiae),0.0031285310684662057,-2.550743619605177,0.02170869356124694
2964,GIN (An. gambiae),0.004544217687074831,-2.532094537992052,0.027958165950090756
2965,GIN (An. gambiae),0.003495373041566686,-2.6455215332284077,0.027958165950090756
2966,GIN (An. gambiae),0.012682260321329466,-2.157544490470426,0.04243062832425538
2967,GIN (An. gambiae),0.011009676600267861,-2.0697172765360907,0.03420763833893457
2968,GIN (An. gambiae),0.006155206331917139,-2.1352320426819946,0.02170869356124694
2969,GIN (An. gambiae),0.00548755220673554,-2.240261092408662,0.022037613160659775
2970,GIN (An. gambiae),0.010501769358886833,-2.041191599627072,0.031905201143044744
2971,GIN (An. gambiae),0.012490884970124206,-2.12364237156264,0.040457110727778384
2972,GIN (An. gambiae),0.011902091194414795,-2.21412741297711,0.04243062832425538
2973,GIN (An. gambiae),0.013850637619839483,-2.236580100091422,0.049995779110750524
2974,GIN (An. gambiae),0.004570295896086849,-2.5505468082817373,0.028944924748329253
2975,GIN (An. gambiae),0.0022954051032648163,-2.5012018991110443,0.01611706037122879
2976,GIN (An. gambiae),0.0104229043529975,-2.2436947660611364,0.038812512730714226
2977,GIN (An. gambiae),0.012277398696554677,-2.0971298963746925,0.038812512730714226
2978,GIN (An. gambiae),0.007600088801387662,-2.409707442833955,0.03585223633599873
2979,GIN (An. gambiae),0.00724189823375501,-2.360211198244439,0.03223412074245758
2980,GIN (An. gambiae),0.006793262814716117,-2.2987736251379944,0.02828708554950359
2981,GIN (An. gambiae),0.01343838982176178,-2.033607144096953,0.039799271528952726
2982,GIN (An. gambiae),0.01661905909130524,-1.9102667001197158,0.043746306721906714
2983,GIN (An. gambiae),0.017762054312132854,-2.059417680673442,0.05295605550546602
2984,GIN (An. gambiae),0.0054327023700947675,-2.436009623662674,0.027958165950090756
2985,GIN (An. gambiae),0.0045056868965977675,-2.4454245066441276,0.0243400503565496
2986,GIN (An. gambiae),0.0024806562174353223,-2.5394794579103865,0.018090577967705784
2987,GIN (An. gambiae),0.0,,0.0
2988,GIN (An. gambiae),0.006029219411211036,-2.4532939926485695,0.03124736194421908
2989,GIN (An. gambiae),0.0142669918553226,-2.258319717021249,0.05262713590605319
2990,GIN (An. gambiae),0.011637644505443924,-2.388828863955677,0.050982537908989024
2991,GIN (An. gambiae),0.012108821089653983,-2.2615310125471058,0.04539090471897087
2992,GIN (An. gambiae),0.014944485654003397,-2.2242909691406347,0.05295605550546602
2993,GIN (An. gambiae),0.005495716123561493,-2.5119669281210517,0.031576281543631915
2994,GIN (An. gambiae),0.011747283786125261,-1.668429362830177,0.026313567953026595
2995,GIN (An. gambiae),0.005675013860307297,-2.3829249745723824,0.02697140715185226
2996,GIN (An. gambiae),0.01328763852592151,-2.152385644446743,0.04407522632131955
2997,GIN (An. gambiae),0.006661233138368712,-2.464338166796538,0.03453655793834741
2998,GIN (An. gambiae),0.01794522222872128,-1.951636523008727,0.0486801007130992
2999,GIN (An. gambiae),0.014885583722687645,-2.1106207608838408,0.047035502716035044
3000,GIN (An. gambiae),0.014433581093961593,-1.8503928815243693,0.0365100755348244
3001,GIN (An. gambiae),0.010846783771813123,-2.2181008352904468,0.03914143233012706
3002,GIN (An. gambiae),0.01751401520084093,-1.9032537471269897,0.04571982431838371
3003,GIN (An. gambiae),0.01737116260569699,-1.9557916384357679,0.047364422315447866
3004,GIN (An. gambiae),0.024548792095724734,-1.7491751784591032,0.05624525149959435
3005,GIN (An. gambiae),0.02052425069146394,-1.849277742491489,0.050982537908989024
3006,GIN (An. gambiae),0.022649661139630427,-1.9459529487387368,0.060521206291961165
3007,GIN (An. gambiae),0.020475670809288294,-2.0455392968669464,0.0598633670931355
3008,GIN (An. gambiae),0.0208619662515853,-2.2135860875760267,0.07170447267199746
3009,GIN (An. gambiae),0.019305571407403917,-2.2250677882298997,0.06742851787963065
3010,GIN (An. gambiae),0.030324600918281094,-1.8200452909191627,0.07269123147023596
3011,GIN (An. gambiae),0.0240920720093869,-2.1649451505051758,0.07828286466025412
3012,GIN (An. gambiae),0.020641878007636994,-2.223168311371497,0.07170447267199746
